SPSBEAM/ETA,SPSBEAM/ETA
X,Y
4292.0,0.0018522256
4298.0,0.0018522384
4304.0,0.0018522508
4310.0,0.0018522627
4316.0,0.001852274
4322.0,0.0018522849
4328.0,0.0018522953
4334.0,0.0018523052
4340.0,0.0018523146
4346.0,0.0018523235
4352.0,0.0018523319
4358.0,0.0018523399
4364.0,0.0018523474
4370.0,0.0018523544
4376.0,0.001852361
4382.0,0.0018523671
4388.0,0.0018523727
4394.0,0.0018523779
4400.0,0.0018523826
4406.0,0.0018523869
4412.0,0.0018523907
4418.0,0.0018523941
4424.0,0.001852397
4430.0,0.0018523995
4436.0,0.0018524015
4442.0,0.0018524031
4448.0,0.0018524042
4454.0,0.0018524048
4460.0,0.0018524051
4510.0,0.001852405
4535.0,0.001852405
4560.0,0.001852405
4610.0,0.0018524063
4660.0,0.0018524063
4685.0,0.0018524067
4710.0,0.001852407
4760.0,0.0018524075
4810.0,0.001852408
4835.0,0.0018524083
4860.0,0.0018524085
4910.0,0.001852409
4960.0,0.0018524094
4985.0,0.0018524096
5010.0,0.0018524098
5060.0,0.0018524102
5110.0,0.0018524105
5135.0,0.0018524106
5160.0,0.0018524108
5210.0,0.001852411
5310.0,0.0018524116
5410.0,0.0018524121
5460.0,0.0018524124
5560.0,0.0018524128
5610.0,0.0018524131
5710.0,0.0018524135
5760.0,0.0018524138
