SPSBEAM/B,SPSBEAM/B
X,Y
4052.0,1.6628518734
4058.0,1.6659703734
4064.0,1.6690718221
4070.0,1.672153453
4076.0,1.6752150533
4082.0,1.6782566229
4088.0,1.6812781619
4094.0,1.6842796702
4100.0,1.6872611479
4106.0,1.690222595
4112.0,1.6931640113
4118.0,1.6960853971
4124.0,1.6989867522
4130.0,1.7018680766
4136.0,1.7047293704
4142.0,1.7075706336
4148.0,1.7103918661
4154.0,1.713193068
4160.0,1.7159742392
4166.0,1.7187353798
4172.0,1.7214764897
4178.0,1.724197569
4184.0,1.7268986176
4190.0,1.7295796356
4196.0,1.732240623
4202.0,1.7348815797
4208.0,1.7375025057
4214.0,1.7401034011
4220.0,1.7426842659
4226.0,1.7452451
4232.0,1.7477859035
4238.0,1.7503066763
4244.0,1.7528074185
4250.0,1.75528813
4256.0,1.7577488109
4262.0,1.7601865118
4268.0,1.7625628908
4274.0,1.7648661504
4280.0,1.7670962907
4286.0,1.7692533117
4292.0,1.7713372133
4298.0,1.7733479955
4304.0,1.7752856584
4310.0,1.7771502019
4316.0,1.7789416261
4322.0,1.7806599309
4328.0,1.7823051163
4334.0,1.7838771825
4340.0,1.7853761292
4346.0,1.7868019566
4352.0,1.7881546647
4358.0,1.7894342534
4364.0,1.7906407227
4370.0,1.7917740727
4376.0,1.7928343033
4382.0,1.7938214146
4388.0,1.7947354065
4394.0,1.7955762791
4400.0,1.7963440323
4406.0,1.7970386662
4412.0,1.7976601807
4418.0,1.7982085758
4424.0,1.7986838516
4430.0,1.7990860081
4436.0,1.7994150452
4442.0,1.7996709629
4448.0,1.7998537613
4454.0,1.7999634403
4460.0,1.8
4510.0,1.7999929231
4535.0,1.7999840518
4560.0,1.799992217
4610.0,1.8002060476
4660.0,1.800207931
4685.0,1.8002728259
4710.0,1.8003090942
4760.0,1.8004052817
4810.0,1.80048403
