SPSBEAM/ETA,SPSBEAM/ETA
X,Y
2935.0,0.0018386357
2941.0,0.0018397526
2947.0,0.0018408503
2953.0,0.001841929
2959.0,0.0018429892
2965.0,0.0018440313
2971.0,0.0018450556
2977.0,0.0018460627
2983.0,0.0018470527
2989.0,0.0018480262
2995.0,0.0018489833
3001.0,0.0018499246
3007.0,0.0018508502
3013.0,0.0018517606
3019.0,0.001852656
3025.0,0.0018535367
3031.0,0.0018544031
3037.0,0.0018552555
3043.0,0.0018560941
3049.0,0.0018569192
3055.0,0.001857731
3061.0,0.0018585299
3067.0,0.0018593161
3073.0,0.0018600899
3079.0,0.0018608514
3085.0,0.001861601
3091.0,0.0018623389
3097.0,0.0018630652
3103.0,0.0018637803
3109.0,0.0018644844
3115.0,0.0018651776
3121.0,0.0018658601
3127.0,0.0018665323
3133.0,0.0018671942
3139.0,0.0018678461
3145.0,0.0018684881
3151.0,0.0018691204
3157.0,0.0018697433
3163.0,0.0018703569
3169.0,0.0018709613
3175.0,0.0018715568
3181.0,0.0018721435
3187.0,0.0018727216
3193.0,0.0018732912
3199.0,0.0018738525
3205.0,0.0018744056
3211.0,0.0018749506
3217.0,0.0018754878
3223.0,0.0018760173
3229.0,0.0018765392
3235.0,0.0018770536
3241.0,0.0018775607
3247.0,0.0018780606
3253.0,0.0018785534
3259.0,0.0018790393
3265.0,0.0018795184
3271.0,0.0018799907
3277.0,0.0018804565
3283.0,0.0018809158
3289.0,0.0018813687
3295.0,0.0018818154
3301.0,0.0018822559
3307.0,0.0018826904
3313.0,0.001883119
3319.0,0.0018835417
3325.0,0.0018839587
3331.0,0.0018843701
3337.0,0.0018847759
3343.0,0.0018851762
3349.0,0.001885571
3385.0,0.0018878175
3391.0,0.0018881725
3397.0,0.0018885223
3403.0,0.0018888669
3409.0,0.0018892065
3415.0,0.0018895411
3421.0,0.0018898709
3427.0,0.0018901959
3433.0,0.0018905163
3439.0,0.0018908321
3445.0,0.0018911434
3451.0,0.0018914503
3457.0,0.0018917529
3463.0,0.0018920512
3469.0,0.0018923454
3475.0,0.0018926354
3487.0,0.0018932036
3493.0,0.0018934819
3499.0,0.0018937564
3505.0,0.0018940271
3511.0,0.0018942942
3517.0,0.0018945577
3523.0,0.0018948177
3529.0,0.0018950742
3535.0,0.0018953272
3541.0,0.001895577
3547.0,0.0018958235
3553.0,0.0018960667
3559.0,0.0018963067
3565.0,0.0018965437
3571.0,0.0018967776
3577.0,0.0018970084
3583.0,0.0018972363
3589.0,0.0018974613
3601.0,0.0018979028
3607.0,0.0018981193
3613.0,0.0018983332
3619.0,0.0018985443
3625.0,0.0018987529
3631.0,0.0018989588
3649.0,0.0018995616
3655.0,0.0018997576
3661.0,0.0018999512
3667.0,0.0019001425
3673.0,0.0019003315
3679.0,0.0019005183
3685.0,0.0019007027
3691.0,0.001900885
3697.0,0.0019010652
3703.0,0.0019012432
3721.0,0.0019017648
3733.0,0.0019021025
3739.0,0.0019022684
3745.0,0.0019024324
3751.0,0.0019025945
3763.0,0.0019029133
3769.0,0.00190307
3775.0,0.0019032249
3781.0,0.001903378
3787.0,0.0019035295
3793.0,0.0019036792
3805.0,0.0019039738
3817.0,0.0019042619
3823.0,0.0019044035
3829.0,0.0019045437
3835.0,0.0019046823
3841.0,0.0019048194
3847.0,0.001904955
3853.0,0.0019050892
3865.0,0.0019053532
3877.0,0.0019056117
3889.0,0.0019058647
3895.0,0.0019059892
3901.0,0.0019061124
3907.0,0.0019062344
3913.0,0.0019063551
3919.0,0.0019064745
3937.0,0.0019068254
3955.0,0.0019071657
3967.0,0.0019073869
3991.0,0.0019078161
3997.0,0.0019079208
4003.0,0.0019080241
4009.0,0.0019081262
4015.0,0.001908227
4021.0,0.0019083266
4027.0,0.001908425
4033.0,0.0019085222
4039.0,0.0019086182
4045.0,0.0019087131
4051.0,0.0019088068
4057.0,0.0019088994
4063.0,0.001908991
4069.0,0.0019090814
4075.0,0.0019091707
4081.0,0.001909259
4087.0,0.0019093463
4093.0,0.0019094326
4099.0,0.0019095178
4105.0,0.0019096021
4111.0,0.0019096854
4117.0,0.0019097677
4123.0,0.0019098491
4129.0,0.0019099296
4135.0,0.0019100092
4141.0,0.0019100878
4147.0,0.0019101656
4153.0,0.0019102425
4159.0,0.0019103185
4165.0,0.0019103937
4171.0,0.0019104681
4177.0,0.0019105416
4183.0,0.0019106143
4189.0,0.0019106862
4195.0,0.0019107573
4201.0,0.0019108277
4207.0,0.0019108972
4213.0,0.0019109661
4219.0,0.0019110341
4225.0,0.0019111015
4231.0,0.0019111681
4237.0,0.001911234
